Date,price
2005-01-03 00:00:00-05:00,81.38372802734375
2005-01-04 00:00:00-05:00,80.3892593383789
2005-01-05 00:00:00-05:00,79.83450317382812
2005-01-06 00:00:00-05:00,80.2404556274414
2005-01-07 00:00:00-05:00,80.12542724609375
2005-01-10 00:00:00-05:00,80.5042953491211
2005-01-11 00:00:00-05:00,79.94953918457031
2005-01-12 00:00:00-05:00,80.2133560180664
2005-01-13 00:00:00-05:00,79.57069396972656
2005-01-14 00:00:00-05:00,79.9901351928711
2005-01-18 00:00:00-05:00,80.82223510742188
2005-01-19 00:00:00-05:00,79.97660064697266
2005-01-20 00:00:00-05:00,79.489501953125
2005-01-21 00:00:00-05:00,79.0024185180664
2005-01-24 00:00:00-05:00,78.84680938720703
2005-01-25 00:00:00-05:00,79.07011413574219
2005-01-26 00:00:00-05:00,79.3068618774414
2005-01-27 00:00:00-05:00,79.4421615600586
2005-01-28 00:00:00-05:00,79.4421615600586
2005-01-31 00:00:00-05:00,79.93598937988281
2005-02-01 00:00:00-05:00,80.44342803955078
2005-02-02 00:00:00-05:00,80.68692016601562
2005-02-03 00:00:00-05:00,80.47721099853516
2005-02-04 00:00:00-05:00,81.33636474609375
2005-02-07 00:00:00-05:00,81.22810363769531
2005-02-08 00:00:00-05:00,81.32283020019531
2005-02-09 00:00:00-05:00,80.7140121459961
2005-02-10 00:00:00-05:00,81.00491333007812
2005-02-11 00:00:00-05:00,81.70167541503906
2005-02-14 00:00:00-05:00,81.64080047607422
2005-02-15 00:00:00-05:00,81.94522857666016
2005-02-16 00:00:00-05:00,81.99935150146484
2005-02-17 00:00:00-05:00,81.33636474609375
2005-02-18 00:00:00-05:00,81.44459533691406
2005-02-22 00:00:00-05:00,80.23365783691406
2005-02-23 00:00:00-05:00,80.80870819091797
2005-02-24 00:00:00-05:00,81.3431167602539
2005-02-25 00:00:00-05:00,82.14816284179688
2005-02-28 00:00:00-05:00,81.60700988769531
2005-03-01 00:00:00-05:00,82.01290130615234
2005-03-02 00:00:00-05:00,81.9722900390625
2005-03-03 00:00:00-05:00,82.00611114501953
2005-03-04 00:00:00-05:00,83.0276107788086
2005-03-07 00:00:00-05:00,83.0682144165039
2005-03-08 00:00:00-05:00,82.75704193115234
2005-03-09 00:00:00-05:00,81.83700561523438
2005-03-10 00:00:00-05:00,82.01966094970703
2005-03-11 00:00:00-05:00,81.44459533691406
2005-03-14 00:00:00-05:00,81.95201110839844
2005-03-15 00:00:00-05:00,81.27549743652344
2005-03-16 00:00:00-05:00,80.5854263305664
2005-03-17 00:00:00-05:00,80.74779510498047
2005-03-18 00:00:00-05:00,80.508056640625
2005-03-21 00:00:00-05:00,80.2092056274414
2005-03-22 00:00:00-05:00,79.39420318603516
2005-03-23 00:00:00-05:00,79.4621810913086
2005-03-24 00:00:00-05:00,79.55723571777344
2005-03-28 00:00:00-05:00,79.67271423339844
2005-03-29 00:00:00-05:00,79.14291381835938
2005-03-30 00:00:00-05:00,80.26358032226562
2005-03-31 00:00:00-05:00,80.11416625976562
2005-04-01 00:00:00-05:00,79.75419616699219
2005-04-04 00:00:00-04:00,79.8900146484375
2005-04-05 00:00:00-04:00,80.27032470703125
2005-04-06 00:00:00-04:00,80.54882049560547
2005-04-07 00:00:00-04:00,80.98347473144531
2005-04-08 00:00:00-04:00,80.14131164550781
2005-04-11 00:00:00-04:00,80.2024154663086
2005-04-12 00:00:00-04:00,80.61674499511719
2005-04-13 00:00:00-04:00,79.66590118408203
2005-04-14 00:00:00-04:00,78.62679290771484
2005-04-15 00:00:00-04:00,77.52655792236328
2005-04-18 00:00:00-04:00,77.76424407958984
2005-04-19 00:00:00-04:00,78.38227081298828
2005-04-20 00:00:00-04:00,77.28883361816406
2005-04-21 00:00:00-04:00,78.78978729248047
2005-04-22 00:00:00-04:00,78.49092864990234
2005-04-25 00:00:00-04:00,79.00711059570312
2005-04-26 00:00:00-04:00,78.23966217041016
2005-04-27 00:00:00-04:00,78.54527282714844
2005-04-28 00:00:00-04:00,77.56049346923828
2005-04-29 00:00:00-04:00,78.61319732666016
2005-05-02 00:00:00-04:00,79.05464935302734
2005-05-03 00:00:00-04:00,79.19050598144531
2005-05-04 00:00:00-04:00,79.8017349243164
2005-05-05 00:00:00-04:00,79.7745361328125
2005-05-06 00:00:00-04:00,79.52326965332031
2005-05-09 00:00:00-04:00,80.01905822753906
2005-05-10 00:00:00-04:00,79.19050598144531
2005-05-11 00:00:00-04:00,79.62513732910156
2005-05-12 00:00:00-04:00,78.7490234375
2005-05-13 00:00:00-04:00,78.59283447265625
2005-05-16 00:00:00-04:00,79.32633209228516
2005-05-17 00:00:00-04:00,79.85607147216797
2005-05-18 00:00:00-04:00,80.67784881591797
2005-05-19 00:00:00-04:00,81.01744079589844
2005-05-20 00:00:00-04:00,80.9019775390625
2005-05-23 00:00:00-04:00,81.3502426147461
2005-05-24 00:00:00-04:00,81.16007995605469
2005-05-25 00:00:00-04:00,81.0989761352539
2005-05-26 00:00:00-04:00,81.53360748291016
2005-05-27 00:00:00-04:00,81.66941833496094
2005-05-31 00:00:00-04:00,81.1465072631836
2005-06-01 00:00:00-04:00,81.83921813964844
2005-06-02 00:00:00-04:00,82.01580047607422
2005-06-03 00:00:00-04:00,81.60151672363281
2005-06-06 00:00:00-04:00,81.5268325805664
2005-06-07 00:00:00-04:00,81.58797454833984
2005-06-08 00:00:00-04:00,81.43852233886719
2005-06-09 00:00:00-04:00,81.82563781738281
2005-06-10 00:00:00-04:00,81.6354751586914
2005-06-13 00:00:00-04:00,81.89356994628906
2005-06-14 00:00:00-04:00,82.0837173461914
2005-06-15 00:00:00-04:00,82.23993682861328
2005-06-16 00:00:00-04:00,82.45045471191406
2005-06-17 00:00:00-04:00,82.75597381591797
2005-06-20 00:00:00-04:00,82.78324890136719
2005-06-21 00:00:00-04:00,82.83097076416016
2005-06-22 00:00:00-04:00,82.899169921875
2005-06-23 00:00:00-04:00,81.73310089111328
2005-06-24 00:00:00-04:00,81.1330337524414
2005-06-27 00:00:00-04:00,81.24897003173828
2005-06-28 00:00:00-04:00,81.93089294433594
2005-06-29 00:00:00-04:00,81.7126693725586
2005-06-30 00:00:00-04:00,81.26941680908203
2005-07-01 00:00:00-04:00,81.50809478759766
2005-07-05 00:00:00-04:00,82.16270446777344
2005-07-06 00:00:00-04:00,81.47399139404297
2005-07-07 00:00:00-04:00,81.79449462890625
2005-07-08 00:00:00-04:00,82.72868347167969
2005-07-11 00:00:00-04:00,83.15147399902344
2005-07-12 00:00:00-04:00,83.3696517944336
2005-07-13 00:00:00-04:00,83.48558807373047
2005-07-14 00:00:00-04:00,83.81293487548828
2005-07-15 00:00:00-04:00,83.76522064208984
2005-07-18 00:00:00-04:00,83.43106842041016
2005-07-19 00:00:00-04:00,83.88792419433594
2005-07-20 00:00:00-04:00,84.17435455322266
2005-07-21 00:00:00-04:00,83.6833724975586
2005-07-22 00:00:00-04:00,84.24252319335938
2005-07-25 00:00:00-04:00,84.00386047363281
2005-07-26 00:00:00-04:00,84.10614776611328
2005-07-27 00:00:00-04:00,84.41299438476562
2005-07-28 00:00:00-04:00,84.94486999511719
2005-07-29 00:00:00-04:00,84.37889862060547
2005-08-01 00:00:00-04:00,84.31752014160156
2005-08-02 00:00:00-04:00,84.82211303710938
2005-08-03 00:00:00-04:00,85.04718780517578
2005-08-04 00:00:00-04:00,84.36528778076172
2005-08-05 00:00:00-04:00,83.79249572753906
2005-08-08 00:00:00-04:00,83.6356201171875
2005-08-09 00:00:00-04:00,84.1402587890625
2005-08-10 00:00:00-04:00,84.09933471679688
2005-08-11 00:00:00-04:00,84.43346405029297
2005-08-12 00:00:00-04:00,83.91522216796875
2005-08-15 00:00:00-04:00,84.43346405029297
2005-08-16 00:00:00-04:00,83.33561706542969
2005-08-17 00:00:00-04:00,83.32877349853516
2005-08-18 00:00:00-04:00,83.32194519042969
2005-08-19 00:00:00-04:00,83.51288604736328
2005-08-22 00:00:00-04:00,83.51288604736328
2005-08-23 00:00:00-04:00,83.35601806640625
2005-08-24 00:00:00-04:00,82.61278533935547
2005-08-25 00:00:00-04:00,82.91278839111328
2005-08-26 00:00:00-04:00,82.34683990478516
